spacing_D,wd_deg,ws_m_per_s,TI_per,VS,yaw_deg,power_demand_per,SAWS,SATI
4,-8.0,6,0.1,0.1,"[-30.0, -20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.95372314 5.96430088
 5.61559423 5.52561213 5.86510019 5.93569256 5.52740908 5.36606132]","[0.12113741 0.11166301 0.10876774 0.11063799 0.143839   0.12517954
 0.12831819 0.14653309 0.13213084 0.12323832 0.12822589 0.14009957]"
4,-8.0,6,0.1,0.1,"[-30.0, -20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.95372314 5.96430088
 5.61559423 5.52561213 5.86510019 5.93569256 5.52740908 5.36606132]","[0.12113741 0.11166301 0.10876774 0.11063799 0.143839   0.12517954
 0.12831819 0.14653309 0.13213084 0.12323832 0.12822589 0.14009957]"
4,-8.0,6,0.1,0.1,"[-30.0, 0.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.95372314 5.96430088
 5.61559423 5.52561213 5.53733629 5.80973685 5.20180241 4.76965853]","[0.12113741 0.11166301 0.10876774 0.11063799 0.12445539 0.11715043
 0.12063977 0.13035182 0.15035563 0.13813537 0.1506931  0.16873861]"
4,-8.0,6,0.1,0.1,"[-30.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.95372314 5.96430088
 5.61559423 5.52561213 5.53733629 5.80973685 5.20180241 4.76965853]","[0.12113741 0.11166301 0.10876774 0.11063799 0.12445539 0.11715043
 0.12063977 0.13035182 0.15035563 0.13813537 0.1506931  0.16873861]"
4,-8.0,6,0.1,0.1,"[-30.0, 20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.95372314 5.96430088
 5.61559423 5.52561213 5.17526703 5.57806544 4.90233298 4.34953041]","[0.12113741 0.11166301 0.10876774 0.11063799 0.12242965 0.12172905
 0.12932452 0.12800052 0.16229026 0.14467872 0.16440905 0.19047444]"
4,-8.0,6,0.1,0.1,"[-30.0, 20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.95372314 5.96430088
 5.61559423 5.52561213 5.17526703 5.57806544 4.90233298 4.34953041]","[0.12113741 0.11166301 0.10876774 0.11063799 0.12242965 0.12172905
 0.12932452 0.12800052 0.16229026 0.14467872 0.16440905 0.19047444]"
4,-8.0,6,0.1,0.1,"[0.0, -20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.33977566 5.75198428
 5.02571213 4.39138193 5.73850314 5.87839494 5.39765679 5.15469604]","[0.10054274 0.10101483 0.10133917 0.10037304 0.17193476 0.14379223
 0.1584337  0.19328577 0.1477328  0.13774044 0.14582286 0.15938658]"
4,-8.0,6,0.1,0.1,"[0.0, -20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.33977566 5.75198428
 5.02571213 4.39138193 5.73850314 5.87839494 5.39765679 5.15469604]","[0.10054274 0.10101483 0.10133917 0.10037304 0.17193476 0.14379223
 0.1584337  0.19328577 0.1477328  0.13774044 0.14582286 0.15938658]"
4,-8.0,6,0.1,0.1,"[0.0, 0.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.33977566 5.75198428
 5.02571213 4.39138193 5.36576746 5.68096468 5.05269895 4.60519305]","[0.10054274 0.10101483 0.10133917 0.10037304 0.15539704 0.13905361
 0.15700757 0.18298867 0.15610322 0.14280722 0.15785036 0.17678369]"
4,-8.0,6,0.1,0.1,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.33977566 5.75198428
 5.02571213 4.39138193 5.36576746 5.68096468 5.05269895 4.60519305]","[0.10054274 0.10101483 0.10133917 0.10037304 0.15539704 0.13905361
 0.15700757 0.18298867 0.15610322 0.14280722 0.15785036 0.17678369]"
